"","time","type","mean_log_LACO","se_log_LACO","mean_LACO","se_LACO","sd_LACO"
"1","2000","predicted_LACO",2.99399117158933,0.0175919784669618,20.4295774647887,0.404054702372876,4.81486747028078
"2","2000","reduced50EG_LACO",3.40015785564933,0.0542420717220627,37.0985915492958,2.05528206898569,24.4915124563462
"3","2000","reduced75EG_LACO",4.24609979443928,0.00560471328683545,69.9859154929577,0.387341651051359,4.61570847852909
"4","2001","predicted_LACO",3.36799957626739,0.0328094762830512,31.2816901408451,1.08606589426193,12.9419687833194
"5","2001","reduced50EG_LACO",3.7662583651932,0.0608203444930101,56.0070422535211,3.47552333601462,41.415640393502
"6","2001","reduced75EG_LACO",4.59205584664552,0.0271116094153736,103.697183098592,2.66896295292637,31.8043641763402
"7","2002","predicted_LACO",4.99468281604744,0.0532744376890423,178.014084507042,9.24808730283794,110.203678995075
"8","2002","reduced50EG_LACO",5.6499774530717,0.0624878540677414,369.112676056338,22.8582667642091,272.387685191258
"9","2002","reduced75EG_LACO",6.62404137255589,0.0302216744821377,800.521126760563,23.1796321573346,276.217195820258
"10","2003","predicted_LACO",6.08263176354797,0.0508768974241501,521.366197183099,26.4520729718177,315.212828672794
"11","2003","reduced50EG_LACO",6.68820186632472,0.0553548839845192,974.345070422535,47.7542049883985,569.057028212907
"12","2003","reduced75EG_LACO",7.43881127366672,0.0255992181510372,1776.77464788732,42.4167412880925,505.453807674982
"13","2004","predicted_LACO",5.9166812135511,0.0702952723649647,503.119718309859,31.9565143210446,380.805817539938
"14","2004","reduced50EG_LACO",6.69406729262861,0.0587434678116904,999.725352112676,51.5915463812901,614.784228358063
"15","2004","reduced75EG_LACO",7.5534056841514,0.0298552627427015,2024.33098591549,57.0308592026419,679.601121245104
"16","2005","predicted_LACO",6.64605273630903,0.0781195028449511,1093.96478873239,69.933351843931,833.35206570695
"17","2005","reduced50EG_LACO",7.34401783757632,0.0535698861733955,1792.25352112676,66.1634459646855,788.428452450128
"18","2005","reduced75EG_LACO",7.78924915630488,0.0286034325323346,2523.08450704225,50.8963963539441,606.500559750874
"19","2006","predicted_LACO",4.55784235745206,0.0930562182744101,151.598591549296,10.8451798632859,129.235233314747
"20","2006","reduced50EG_LACO",5.29489203414919,0.0677387324031353,244.915492957746,10.2013956875715,121.563659472579
"21","2006","reduced75EG_LACO",5.73675621395122,0.0469451937950484,341.619718309859,9.13077571008411,108.805750030209
"22","2007","predicted_LACO",5.99604707807486,0.098292953103808,613.485915492958,32.5315207723741,387.657810206894
"23","2007","reduced50EG_LACO",6.58952972134883,0.0449986209587025,809.204225352113,24.711338260215,294.469580572814
"24","2007","reduced75EG_LACO",6.84672021472908,0.020657384445675,964.147887323944,15.2314247130609,181.503373048902
"25","2008","predicted_LACO",4.34409789362619,0.0884959945074288,110.485915492958,5.71412786071679,68.0916920308492
"26","2008","reduced50EG_LACO",4.93876931638491,0.0390549124134732,152.211267605634,4.51239240811593,53.7713613809875
"27","2008","reduced75EG_LACO",5.20231113859919,0.0197718335238038,185.992957746479,3.0102793372095,35.8716183033374
"28","2009","predicted_LACO",5.00450127001768,0.111181220690639,292.401408450704,29.405600617968,350.408172527252
"29","2009","reduced50EG_LACO",6.09080399630019,0.0596964899692236,566.880281690141,36.9554282101807,440.374751474344
"30","2009","reduced75EG_LACO",6.75315219703174,0.037411009980947,946.908450704225,37.6043600372319,448.107666661693
"31","2010","predicted_LACO",3.61838890452565,0.140589313115675,314.478873239437,169.165195953414,2015.8359606173
"32","2010","reduced50EG_LACO",5.2931545120855,0.0921036722082349,629.647887323944,237.582780277707,2831.12557171117
"33","2010","reduced75EG_LACO",6.4932515308194,0.070868380993417,1305.24647887324,331.780763149984,3953.62408697221
"34","2011","predicted_LACO",2.70109249820793,0.181784762162666,438.288732394366,240.965410165676,2871.43425891599
"35","2011","reduced50EG_LACO",4.87078200295976,0.132811584382939,908.077464788732,347.381493340229,4139.52824268308
"36","2011","reduced75EG_LACO",6.61980666854206,0.0984667956780269,2053.61267605634,465.4114113608,5546.017041006
"37","2012","predicted_LACO",2.39113439807593,0.133571819130378,29.1760563380282,3.01365883537666,35.9118896717817
"38","2012","reduced50EG_LACO",4.07487223461391,0.0450854817095964,66.443661971831,2.45563012962495,29.2622101926718
"39","2012","reduced75EG_LACO",4.5858619187848,0.00995061662020295,98.7676056338028,0.969655760449359,11.5547819415042
"40","2013","predicted_LACO",0.728950219244371,0.101923968968604,6.95774647887324,1.95005239651646,23.2375561877892
"41","2013","reduced50EG_LACO",2.10259900511716,0.0973865719103895,17.6338028169014,2.48104348065401,29.5650452208549
"42","2013","reduced75EG_LACO",3.16340822766987,0.0646929727879661,33.9295774647887,3.02900518802138,36.0947625691953
"43","2014","predicted_LACO",0.299329883696236,0.0733516301287005,3.23943661971831,1.3223726484554,15.7578887493338
"44","2014","reduced50EG_LACO",1.06345251111331,0.114306465813748,11.4295774647887,2.93749009459963,35.0042343714824
"45","2014","reduced75EG_LACO",2.35990527720548,0.112517918795222,31.330985915493,5.96227042724382,71.0486519784665
"46","2015","predicted_LACO",0.995907395880354,0.146500788911358,45.556338028169,17.6341513218715,210.135165033504
"47","2015","reduced50EG_LACO",2.89798332264367,0.161000513794601,149.112676056338,39.5124013066333,470.844602492515
"48","2015","reduced75EG_LACO",4.76667005907151,0.130467865974638,415.12676056338,66.6225567232654,793.899388548038
"49","2016","predicted_LACO",2.03613996860792,0.215796395915831,151.866197183099,31.7664760869701,378.541250623672
