"","Depth","Year","mean_EG","se_EG"
"1","deep",2000,3,0.916973740540503
"2","deep",2001,16.8378378378378,3.05345605243213
"3","deep",2002,11.027027027027,4.68296486102761
"4","deep",2003,12.7567567567568,4.60861665313613
"5","deep",2004,19.0810810810811,5.3656647235448
"6","deep",2005,19.7027027027027,5.82075411572874
"7","deep",2006,0.0540540540540541,0.0540540540540541
"8","deep",2007,30.5675675675676,7.23724315601667
"9","deep",2008,67.8918918918919,6.4134084138747
"10","deep",2009,77.027027027027,5.95270227662394
"11","deep",2010,48,6.92506003269693
"12","deep",2011,53.1621621621622,7.58292628483962
"13","deep",2012,74.054054054054,6.60227301221684
"14","deep",2013,104.405405405405,6.20477142025125
"15","deep",2014,51.6756756756757,6.80366599356796
"16","deep",2015,86.7837837837838,6.64863949314539
"17","deep",2016,97.8378378378378,5.12977434738853
"18","deep",2017,27.5675675675676,7.32580905355169
"19","medium",2000,5.39473684210526,1.40263898487232
"20","medium",2001,30.9868421052632,2.95596295474808
"21","medium",2002,38.9473684210526,4.88351666275269
"22","medium",2003,43.8815789473684,5.42243446023379
"23","medium",2004,44.6052631578947,4.92687150112019
"24","medium",2005,44.1710526315789,5.01094899993635
"25","medium",2006,8.97368421052632,2.38106372249887
"26","medium",2007,33.9342105263158,5.35223630999282
"27","medium",2008,87.3289473684211,4.54140360704357
"28","medium",2009,92.1447368421053,3.44748593612481
"29","medium",2010,79.8157894736842,4.10321698894373
"30","medium",2011,82.6315789473684,5.87223147475257
"31","medium",2012,92.9078947368421,4.29410765730016
"32","medium",2013,103.618421052632,5.7383281110981
"33","medium",2014,74.0657894736842,4.81697785164814
"34","medium",2015,112.960526315789,4.46634356475314
"35","medium",2016,102.881578947368,3.29646100002013
"36","medium",2017,71.4078947368421,6.31503851529639
"37","shallow",2000,22.551724137931,3.77788033425389
"38","shallow",2001,38.7241379310345,5.54091288910417
"39","shallow",2002,79.8275862068966,7.55490069726988
"40","shallow",2003,90.5862068965517,8.15800209190192
"41","shallow",2004,70.8620689655172,7.46514464536253
"42","shallow",2005,66.2068965517241,7.42771061639112
"43","shallow",2006,67.3448275862069,6.8090196378584
"44","shallow",2007,24,9.28503218411754
"45","shallow",2008,60.2413793103448,9.71232206694432
"46","shallow",2009,75.4827586206897,6.9876070256536
"47","shallow",2010,102.827586206897,5.20043313976591
"48","shallow",2011,80.0689655172414,8.09274001631292
"49","shallow",2012,60.5172413793103,8.64924335220446
"50","shallow",2013,60.2068965517241,8.82274536296756
"51","shallow",2014,61.7931034482759,7.39730667774381
"52","shallow",2015,115.034482758621,6.20671866192812
"53","shallow",2016,104.931034482759,5.22379244171277
"54","shallow",2017,132.034482758621,6.48501166172894
