"","iteration","mean_GRWR"
"1","1",-1.15629059692445
"2","10",-0.462551762874876
"3","100",-0.328161154603244
"4","1000",-1.05794600149326
"5","1001",-0.0791439530449398
"6","1002",-0.157850902894202
"7","1003",-0.329012571972958
"8","1004",-0.638974677876499
"9","1005",-0.161090399661072
"10","1006",-1.39750480729399
"11","1007",-0.253793854742981
"12","1008",-0.891519613086566
"13","1009",-0.159270711063946
"14","101",-0.391895827654085
"15","1010",-0.777407503764267
"16","1011",-0.179384855672618
"17","1012",-0.260096589989882
"18","1013",-1.18958875103331
"19","1014",-0.715775336571432
"20","1015",-1.09187022846013
"21","1016",-0.187838119841198
"22","1017",-0.933971483107826
"23","1018",-0.319767256840116
"24","1019",-0.0733388044685045
"25","102",-0.801224156366285
"26","1020",-1.32048196756265
"27","1021",-0.312981985543557
"28","1022",-1.17069158341003
"29","1023",-0.186298130339124
"30","1024",-0.387242653828196
"31","1025",-0.320228653351274
"32","1026",-0.315501354617551
"33","1027",-0.236920382167967
"34","1028",-0.301585279579721
"35","1029",-1.10798430232228
"36","103",-0.385836759430925
"37","1030",-0.238378821457243
"38","1031",-0.234055530221395
"39","1032",-0.159808874343762
"40","1033",-0.577311548191583
"41","1034",-0.298636778705763
"42","1035",-0.876312806638195
"43","1036",-0.28435754090126
"44","1037",-0.793999586552478
"45","1038",-1.27029115471599
"46","1039",-0.946940460539769
"47","104",-0.266191806202025
"48","1040",-0.129547093687459
"49","1041",-1.24074993644648
"50","1042",-0.487465187617265
"51","1043",-0.471088437645988
"52","1044",-1.13761869509571
"53","1045",-0.301152669334664
"54","1046",-1.27219497301464
"55","1047",-0.40528394302879
"56","1048",-1.01274253783071
"57","1049",-0.709928099038253
"58","105",-0.284679696345952
"59","1050",-1.1769917436237
"60","1051",-0.146974475299273
"61","1052",-0.243600076250068
"62","1053",-0.309658771977515
"63","1054",-0.260059790094668
"64","1055",-0.922391213611745
"65","1056",-0.296612076600264
"66","1057",-1.47261886998592
"67","1058",-0.380006923258822
"68","1059",-0.751233924197236
"69","106",-0.333357641394996
"70","1060",-0.291983125137654
"71","1061",-1.14375255569236
"72","1062",-0.0361418480012641
"73","1063",-1.15655489773388
"74","1064",-0.611999141314251
"75","1065",-0.280819061704591
"76","1066",-0.643540497501972
"77","1067",-0.537175103810488
"78","1068",-0.905642730535486
"79","1069",-1.37947031379937
"80","107",-0.319993395867986
"81","1070",-0.187126650237716
"82","1071",-0.382380975913375
"83","1072",-0.133268362273904
"84","1073",-0.798542920420349
"85","1074",-0.992426651971315
"86","1075",-0.404787467169543
"87","1076",-1.06473238478875
"88","1077",-0.154625756530477
"89","1078",-1.34804156496706
"90","1079",-0.891977953212309
"91","108",-0.956867878693688
"92","1080",-0.86970954074849
"93","1081",-0.412095346386312
"94","1082",-0.390699243740686
"95","1083",-1.21989757691865
"96","1084",-0.247597582359274
"97","1085",-1.13750827627953
"98","1086",-0.627998251337128
"99","1087",-0.0766502867082437
"100","1088",-0.525756542964182
"101","1089",-0.409931442112652
"102","109",-0.380203634144305
"103","1090",-0.589116560367144
"104","1091",-0.235873220375877
"105","1092",-0.292440177917897
"106","1093",-1.06502101157888
"107","1094",-0.785268460771874
"108","1095",-0.481444857845934
"109","1096",-1.17950425394818
"110","1097",-0.387889156185076
"111","1098",-0.512060728161917
"112","1099",-0.349284915762207
"113","11",-0.779633727161219
"114","110",-0.210127922869226
"115","1100",-0.275006484157686
"116","1101",-0.0125376672297092
"117","1102",-0.853360114925019
"118","1103",-1.52322240328664
"119","1104",-0.855206046619619
"120","1105",-0.510007849556577
"121","1106",-0.207263086733122
"122","1107",-1.28314443104975
"123","1108",-0.0724681822028823
"124","1109",-1.36141610909968
"125","111",-1.06039337808887
"126","1110",-1.21306608853709
"127","1111",-0.409550902649365
"128","1112",-0.618494698310506
"129","1113",-0.148646909904296
"130","1114",-0.991162008130474
"131","1115",-0.227034475355832
"132","1116",-1.19899669981929
"133","1117",-0.342781843462086
"134","1118",-1.09179852742643
"135","1119",-0.229777263287397
"136","112",-0.1569678068434
"137","1120",-1.12215705016894
"138","1121",-0.836860924641574
"139","1122",-0.760886756126532
"140","1123",-0.360478148887005
"141","1124",-0.46207825214603
"142","1125",-0.420080695965493
"143","1126",-0.412367852752977
"144","1127",-0.928468732027924
"145","1128",-0.75286193270537
"146","1129",-0.804693791137129
"147","113",-0.162460107493053
"148","1130",-0.923538829261663
"149","1131",-0.233076532135731
"150","1132",-0.0611137786249458
"151","1133",-0.869722572559292
"152","1134",-0.325079910230966
"153","1135",-1.3453395676668
"154","1136",-0.507032579011901
"155","1137",-1.17580515759193
"156","1138",-1.04182354750075
"157","1139",-0.297342383038119
"158","114",-0.287706001800629
"159","1140",-0.626954442775292
"160","1141",-1.20043262973911
"161","1142",-1.14013968622244
"162","1143",-0.522535924187129
"163","1144",-1.2661174815407
"164","1145",-0.376511114607547
"165","1146",-1.06323547999251
"166","1147",-1.11622465036243
"167","1148",0.0667806463420182
"168","1149",-0.824528480410879
"169","115",-0.282452650218695
"170","1150",-0.660836627569154
"171","1151",-1.11316708914066
"172","1152",-0.142928143840966
"173","1153",-0.0881947345618625
"174","1154",-0.133124202270424
"175","1155",-0.532391319639742
"176","1156",-0.522502108055463
"177","1157",-0.392774504968269
"178","1158",-1.00535912789616
"179","1159",-1.11634635561193
"180","116",-0.186326461432504
"181","1160",-0.234007285945843
"182","1161",-0.349806819797675
"183","1162",-1.15288399827241
"184","1163",-0.149818953571738
"185","1164",-0.897365979562004
"186","1165",-0.312956533415812
"187","1166",-0.785561018940374
"188","1167",-0.447882780218621
"189","1168",-0.398920851861598
"190","1169",-0.375010610529371
"191","117",-0.771663954850165
"192","1170",-0.45306318058317
"193","1171",-0.0743596538762349
"194","1172",-0.812896566419594
"195","1173",-1.13003030353541
"196","1174",-0.205744866766172
"197","1175",-0.831833797638497
"198","1176",-1.01358060359616
"199","1177",-0.327541420791965
"200","1178",-1.35105446389416
"201","1179",-0.19999870658158
"202","118",-0.225953908062138
"203","1180",-0.601117161213616
"204","1181",-1.34372766754199
"205","1182",-0.378957598222967
"206","1183",-0.920541537967369
"207","1184",-0.856162219830474
"208","1185",-0.731525653810366
"209","1186",-0.0480418282957101
"210","1187",-0.84348470936306
"211","1188",-0.00772366065629501
"212","1189",-0.826136874415411
"213","119",-1.05771965581577
"214","1190",0.0287083929887467
"215","1191",-0.44106369592507
"216","1192",-0.0769999898108532
"217","1193",-1.13162727300006
"218","1194",-0.247751646402731
"219","1195",-0.148782721053648
"220","1196",-1.01908203819055
"221","1197",-0.972066350621345
