"","iteration","mean_GRWR"
"1","1",-0.67104480067158
"2","10",-0.608456532189435
"3","100",-0.584560406185263
"4","1000",-0.490052558513131
"5","1001",-0.560466627762445
"6","1002",-0.658580276476224
"7","1003",-0.527966516248973
"8","1004",-0.479422884875975
"9","1005",-0.560561250735233
"10","1006",-0.62687893054873
"11","1007",-0.62498687292095
"12","1008",-0.545910235789444
"13","1009",-0.603510848337797
"14","101",-0.662720012626331
"15","1010",-0.482772639365847
"16","1011",-0.484260488593439
"17","1012",-0.588317682085305
"18","1013",-0.501256978698427
"19","1014",-0.545631255306264
"20","1015",-0.523732983025468
"21","1016",-0.553072897918526
"22","1017",-0.473676820195342
"23","1018",-0.447399286023352
"24","1019",-0.544713870441939
"25","102",-0.674418955966952
"26","1020",-0.541299351863751
"27","1021",-0.526374723184429
"28","1022",-0.568505273459775
"29","1023",-0.569230942120654
"30","1024",-0.62134521738672
"31","1025",-0.629021001107908
"32","1026",-0.591427539534463
"33","1027",-0.645661177843306
"34","1028",-0.636702981226459
"35","1029",-0.496405758248579
"36","103",-0.522809445472789
"37","1030",-0.577454996919882
"38","1031",-0.549032472222509
"39","1032",-0.466721322389156
"40","1033",-0.568687977989573
"41","1034",-0.480473678974222
"42","1035",-0.646184155912566
"43","1036",-0.544723773233941
"44","1037",-0.538463353543121
"45","1038",-0.583795903612862
"46","1039",-0.636945799841849
"47","104",-0.715947179740927
"48","1040",-0.534913943970262
"49","1041",-0.611560281095128
"50","1042",-0.463856134419834
"51","1043",-0.545790737175388
"52","1044",-0.462387404395796
"53","1045",-0.44522036804215
"54","1046",-0.49426360418994
"55","1047",-0.400190785112782
"56","1048",-0.683317566987249
"57","1049",-0.607412793126481
"58","105",-0.616180732321325
"59","1050",-0.517329167696969
"60","1051",-0.546516663711077
"61","1052",-0.555408936397902
"62","1053",-0.533118906622098
"63","1054",-0.585128698742941
"64","1055",-0.592797834272515
"65","1056",-0.588636378668714
"66","1057",-0.633967195003827
"67","1058",-0.540393549889237
"68","1059",-0.673246760949798
"69","106",-0.618962136978026
"70","1060",-0.6590574538729
"71","1061",-0.51291422009674
"72","1062",-0.514083252662903
"73","1063",-0.703193601589058
"74","1064",-0.678400317568579
"75","1065",-0.458640269566655
"76","1066",-0.648174030700745
"77","1067",-0.535625281015925
"78","1068",-0.65872932099873
"79","1069",-0.654741691893501
"80","107",-0.576853500533201
"81","1070",-0.51519477165682
"82","1071",-0.563553477417611
"83","1072",-0.635847861826641
"84","1073",-0.569003498977582
"85","1074",-0.566896536694492
"86","1075",-0.614731788676516
"87","1076",-0.548936852444115
