"","iteration","mean_GRWR"
"1","1",-0.413065383154132
"2","10",-0.458719995356209
"3","100",-0.408606787047683
"4","1000",-0.397428700256202
"5","1001",-0.407585017807693
"6","1002",-0.411724724368522
"7","1003",-0.433165084103167
"8","1004",-0.425954916409656
"9","1005",-0.430091567699312
"10","1006",-0.40906104400031
"11","1007",-0.413310526377007
"12","1008",-0.434268304411455
"13","1009",-0.418774592430591
"14","101",-0.436660800889589
"15","1010",-0.425403289857195
"16","1011",-0.422160055222755
"17","1012",-0.40540133119369
"18","1013",-0.446652111619805
"19","1014",-0.432323494142404
"20","1015",-0.450766885240817
"21","1016",-0.453274025606234
"22","1017",-0.460748566365135
"23","1018",-0.438048209726858
"24","1019",-0.432923085586834
"25","102",-0.42987037926326
"26","1020",-0.40186397908001
"27","1021",-0.399549224875867
"28","1022",-0.412759673047515
"29","1023",-0.412998303065711
"30","1024",-0.474065299795813
"31","1025",-0.424059152855062
"32","1026",-0.454747374893851
"33","1027",-0.462453940078731
"34","1028",-0.419228237581146
"35","1029",-0.419147403721611
"36","103",-0.439733940699483
"37","1030",-0.434415130616766
"38","1031",-0.396743758245692
"39","1032",-0.459677758203873
"40","1033",-0.46221015379457
"41","1034",-0.428672685797383
"42","1035",-0.449611209634027
"43","1036",-0.432158384594428
"44","1037",-0.393878849573233
"45","1038",-0.410599109868748
"46","1039",-0.419813156818665
"47","104",-0.443742264345225
"48","1040",-0.445114053270717
"49","1041",-0.415935821567414
"50","1042",-0.42795670613399
"51","1043",-0.410953853970188
"52","1044",-0.409032083080933
"53","1045",-0.443878559620702
"54","1046",-0.440175272880094
"55","1047",-0.424315530791551
"56","1048",-0.433667068592202
"57","1049",-0.423301838190687
"58","105",-0.40153497676572
"59","1050",-0.402189770095129
"60","1051",-0.391723387815224
"61","1052",-0.440131240652918
"62","1053",-0.425915011647327
"63","1054",-0.446720125223715
"64","1055",-0.425393564556953
"65","1056",-0.402169860199567
"66","1057",-0.443030897418876
"67","1058",-0.415697109813928
"68","1059",-0.425117287585242
"69","106",-0.389039248823741
"70","1060",-0.402788434768221
"71","1061",-0.416800602069937
"72","1062",-0.441683721946677
"73","1063",-0.434348548372538
"74","1064",-0.430063685831382
"75","1065",-0.431575575536303
"76","1066",-0.42853541723717
"77","1067",-0.436822491559154
"78","1068",-0.445406977389826
"79","1069",-0.422640721074086
"80","107",-0.438087175149676
"81","1070",-0.384853780007863
"82","1071",-0.410085485053446
"83","1072",-0.45141874624874
"84","1073",-0.388610216477758
"85","1074",-0.471505315447789
"86","1075",-0.435290833098658
"87","1076",-0.442246939085514
"88","1077",-0.426247890768118
"89","1078",-0.436362609355271
"90","1079",-0.392705294627419
"91","108",-0.446125525209289
"92","1080",-0.425829090524679
"93","1081",-0.422547723893369
"94","1082",-0.412186430356439
"95","1083",-0.446807079190034
"96","1084",-0.4491674653062
"97","1085",-0.409362326160561
"98","1086",-0.47287179769515
"99","1087",-0.446816977968159
"100","1088",-0.422800840410151
"101","1089",-0.439088183853705
"102","109",-0.397328762729359
"103","1090",-0.417348519700279
"104","1091",-0.461124282973791
"105","1092",-0.407694993968283
"106","1093",-0.418563393424268
"107","1094",-0.418039193442588
"108","1095",-0.426833658118342
"109","1096",-0.433505733641643
"110","1097",-0.40898982806898
"111","1098",-0.395351162330699
"112","1099",-0.438976941477384
"113","11",-0.409172461276511
"114","110",-0.429190351658717
"115","1100",-0.40640864057298
"116","1101",-0.404395466252083
"117","1102",-0.43104232487073
"118","1103",-0.431839443462035
"119","1104",-0.451754424719038
"120","1105",-0.447087919649458
"121","1106",-0.439537944245258
"122","1107",-0.413663217899243
"123","1108",-0.445587430623392
"124","1109",-0.403970417380741
"125","111",-0.452984494058454
"126","1110",-0.450671534850819
"127","1111",-0.417201128552266
"128","1112",-0.409091163724299
"129","1113",-0.406849138587518
"130","1114",-0.414972818032428
"131","1115",-0.45976331392663
"132","1116",-0.417313965779946
"133","1117",-0.410821422416076
"134","1118",-0.426668198068457
"135","1119",-0.429999317743281
"136","112",-0.428266901627838
"137","1120",-0.429697366024482
"138","1121",-0.407553118827748
"139","1122",-0.413056567888372
"140","1123",-0.410478815196405
"141","1124",-0.411301667812728
"142","1125",-0.430745013690583
"143","1126",-0.419215053488659
"144","1127",-0.416132489795357
"145","1128",-0.425748750407063
"146","1129",-0.43595368538574
"147","113",-0.433600262918282
"148","1130",-0.45292078477669
"149","1131",-0.446082368579439
"150","1132",-0.413764867735227
"151","1133",-0.428102015452852
"152","1134",-0.444005178958501
"153","1135",-0.418831877970593
"154","1136",-0.446849925455375
"155","1137",-0.448653975986696
"156","1138",-0.436003105080894
"157","1139",-0.438879118213643
"158","114",-0.441458331034558
"159","1140",-0.442939574255024
"160","1141",-0.419921171365363
"161","1142",-0.409820272162474
"162","1143",-0.4275023117891
"163","1144",-0.454725613006847
"164","1145",-0.426350676607656
"165","1146",-0.43829484984607
"166","1147",-0.4031888974234
"167","1148",-0.418939005149215
"168","1149",-0.466619055548608
"169","115",-0.425793507896631
"170","1150",-0.447714597086593
"171","1151",-0.455765819459034
"172","1152",-0.438967775728292
"173","1153",-0.426503912977434
"174","1154",-0.430712557798206
"175","1155",-0.403262996817345
"176","1156",-0.419256694311624
"177","1157",-0.412662538299599
"178","1158",-0.428972135421138
"179","1159",-0.419670115082049
"180","116",-0.412128752095565
"181","1160",-0.420360125116881
"182","1161",-0.451960751534171
"183","1162",-0.434912480784443
"184","1163",-0.405249397537332
"185","1164",-0.452371041592787
"186","1165",-0.426130771064525
"187","1166",-0.421262976008097
"188","1167",-0.461150918617185
"189","1168",-0.430947751686546
"190","1169",-0.433641097592328
"191","117",-0.424330499815647
"192","1170",-0.433510556863435
"193","1171",-0.432014653935279
"194","1172",-0.425269636523601
"195","1173",-0.429088529486745
"196","1174",-0.428710416707613
"197","1175",-0.438743163907153
"198","1176",-0.412929935390528
"199","1177",-0.450254280479637
"200","1178",-0.443986647883374
"201","1179",-0.415270461793221
"202","118",-0.42222233306506
"203","1180",-0.446240214950725
"204","1181",-0.39331777315351
"205","1182",-0.424183558376135
"206","1183",-0.437733322367595
"207","1184",-0.426395622980547
"208","1185",-0.434614647650883
"209","1186",-0.428675361154085
"210","1187",-0.405729766570361
"211","1188",-0.424560175114527
"212","1189",-0.463910115110635
"213","119",-0.431718858209058
"214","1190",-0.44393660770452
"215","1191",-0.433682935510096
"216","1192",-0.434397385940066
"217","1193",-0.432032950743847
"218","1194",-0.418231773035946
"219","1195",-0.41033008787485
"220","1196",-0.417760419770506
"221","1197",-0.438302960454472
"222","1198",-0.437202263289135
"223","1199",-0.42173798061379
"224","12",-0.429914891048929
"225","120",-0.418534983214447
"226","1200",-0.441316061296488
"227","1201",-0.410944028832454
"228","1202",-0.443000175698983
"229","1203",-0.418517221210452
"230","1204",-0.425876449329776
"231","1205",-0.381295397521896
"232","1206",-0.427284946926353
"233","1207",-0.404014920980972
"234","1208",-0.407620115269794
"235","1209",-0.452758273799923
"236","121",-0.418206655380666
"237","1210",-0.41674227381256
"238","1211",-0.437225954468642
"239","1212",-0.431526917322764
"240","1213",-0.41722463839592
"241","1214",-0.432329597086484
"242","1215",-0.466718772084862
"243","1216",-0.445640809931764
"244","1217",-0.412274696562423
"245","1218",-0.419675147922659
"246","1219",-0.419603545937852
"247","122",-0.421048394597311
"248","1220",-0.418518860238885
"249","1221",-0.426432971078308
"250","1222",-0.424992901387955
"251","1223",-0.382224418738998
