"time","eff_50","eff_75"
"2000",2.96991543107098,8.46936314975676
"2001",1.96964786221879,5.5390537553432
"2002",1.92481651900813,6.01597680514015
"2003",1.48309976330908,4.39936115406652
"2004",1.1940141976294,3.98527853037143
"2005",0.700099205099864,1.90930855838854
"2006",0.665243843388454,1.7611314425127
"2007",0.557870985503347,1.26141799950961
"2008",0.797207899586895,1.63328575770967
"2009",0.939049553931323,2.53534575185784
"2010",0.391701703543353,1.22214923782375
"2011",0.395200536905695,1.19108049995936
"2012",0.685854247978028,2.18453526842435
"2013",0.308791739348335,1.29607541974186
"2014",0.574055085688046,2.7845955649047
"2015",0.389952465804222,1.7970721527519
"2016",0.532583228699815,2.4174265246194
"2017",1.21866512869925,3.32941601733647
